meter_id,scheme_name,service_type,meter_number,meter_role,unit_number,location_description,parent_meter_id,hierarchy_level,reconciliation_group,is_active,start_date,end_date,source_confidence,verified_by,notes,source_reference
meter-carissa-lane-unit-cl-16,Carissa Lane,electricity,CL 16,unit,CL 16,CL 16,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 16
meter-carissa-lane-unit-cl-17,Carissa Lane,electricity,CL 17,unit,CL 17,CL 17,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 17
meter-carissa-lane-unit-cl-18,Carissa Lane,electricity,CL 18,unit,CL 18,CL 18,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 18
meter-carissa-lane-unit-cl-19,Carissa Lane,electricity,CL 19,unit,CL 19,CL 19,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 19
meter-carissa-lane-unit-cl-20,Carissa Lane,electricity,CL 20,unit,CL 20,CL 20,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 20
meter-carissa-lane-unit-cl-21,Carissa Lane,electricity,CL 21,unit,CL 21,CL 21,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 21
meter-carissa-lane-unit-cl-22,Carissa Lane,electricity,CL 22,unit,CL 22,CL 22,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 22
meter-carissa-lane-unit-cl-23,Carissa Lane,electricity,CL 23,unit,CL 23,CL 23,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 23
meter-carissa-lane-unit-cl-24,Carissa Lane,electricity,CL 24,unit,CL 24,CL 24,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 24
meter-carissa-lane-unit-cl-25,Carissa Lane,electricity,CL 25,unit,CL 25,CL 25,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 25
meter-carissa-lane-unit-cl-26,Carissa Lane,electricity,CL 26,unit,CL 26,CL 26,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 26
meter-carissa-lane-unit-cl-27,Carissa Lane,electricity,CL 27,unit,CL 27,CL 27,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 27
meter-carissa-lane-unit-cl-28,Carissa Lane,electricity,CL 28,unit,CL 28,CL 28,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 28
meter-carissa-lane-unit-cl-29,Carissa Lane,electricity,CL 29,unit,CL 29,CL 29,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 29
meter-carissa-lane-unit-cl-30,Carissa Lane,electricity,CL 30,unit,CL 30,CL 30,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:CL 30
meter-carissa-lane-common-com01,Carissa Lane,electricity,Com01,common_property,,Carissa Lane,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:Com01
meter-carissa-lane-common-com02,Carissa Lane,electricity,Com02,common_property,,Carissa Lane,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:Com02
meter-carissa-lane-common-com03,Carissa Lane,electricity,Com03,common_property,,Carissa Lane,,1,scheme-carissa-lane,True,,,medium,,,Carissa Lane:Com03
meter-carissa-lane-bulk-bulk-1,Carissa Lane,electricity,Bulk 1,bulk,,Carissa Lane,,0,scheme-carissa-lane,True,,,medium,,,Carissa Lane:Bulk 1
meter-bonifay-unit-bc-01,Bonifay,electricity,BC 01,unit,BC 01,BC 01,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 01
meter-bonifay-unit-bc-02,Bonifay,electricity,BC 02,unit,BC 02,BC 02,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 02
meter-bonifay-unit-bc-03,Bonifay,electricity,BC 03,unit,BC 03,BC 03,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 03
meter-bonifay-unit-bc-04,Bonifay,electricity,BC 04,unit,BC 04,BC 04,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 04
meter-bonifay-unit-bc-05,Bonifay,electricity,BC 05,unit,BC 05,BC 05,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 05
meter-bonifay-unit-bc-06,Bonifay,electricity,BC 06,unit,BC 06,BC 06,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 06
meter-bonifay-unit-bc-07,Bonifay,electricity,BC 07,unit,BC 07,BC 07,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 07
meter-bonifay-unit-bc-08,Bonifay,electricity,BC 08,unit,BC 08,BC 08,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 08
meter-bonifay-unit-bc-09,Bonifay,electricity,BC 09,unit,BC 09,BC 09,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 09
meter-bonifay-unit-bc-10,Bonifay,electricity,BC 10,unit,BC 10,BC 10,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 10
meter-bonifay-unit-bc-11,Bonifay,electricity,BC 11,unit,BC 11,BC 11,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 11
meter-bonifay-unit-bc-12,Bonifay,electricity,BC 12,unit,BC 12,BC 12,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 12
meter-bonifay-unit-bc-13,Bonifay,electricity,BC 13,unit,BC 13,BC 13,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 13
meter-bonifay-unit-bc-14,Bonifay,electricity,BC 14,unit,BC 14,BC 14,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 14
meter-bonifay-unit-bc-15,Bonifay,electricity,BC 15,unit,BC 15,BC 15,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 15
meter-bonifay-unit-bc-16,Bonifay,electricity,BC 16,unit,BC 16,BC 16,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 16
meter-bonifay-unit-bc-17,Bonifay,electricity,BC 17,unit,BC 17,BC 17,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 17
meter-bonifay-unit-bc-18,Bonifay,electricity,BC 18,unit,BC 18,BC 18,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 18
meter-bonifay-unit-bc-19,Bonifay,electricity,BC 19,unit,BC 19,BC 19,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 19
meter-bonifay-unit-bc-20,Bonifay,electricity,BC 20,unit,BC 20,BC 20,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 20
meter-bonifay-unit-bc-21,Bonifay,electricity,BC 21,unit,BC 21,BC 21,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 21
meter-bonifay-unit-bc-22,Bonifay,electricity,BC 22,unit,BC 22,BC 22,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 22
meter-bonifay-unit-bc-23,Bonifay,electricity,BC 23,unit,BC 23,BC 23,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 23
meter-bonifay-unit-bc-24,Bonifay,electricity,BC 24,unit,BC 24,BC 24,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:BC 24
meter-bonifay-common-com-storeroom,Bonifay,electricity,Com Storeroom,common_property,,Bonifay,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:Com Storeroom
meter-bonifay-common-com-staff-room-1-willie,Bonifay,electricity,Com Staff Room 1 (Willie),common_property,,Bonifay,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:Com Staff Room 1 (Willie)
meter-bonifay-common-com-staff-room-2-unit-16,Bonifay,electricity,Com Staff Room 2 (unit 16),common_property,,Bonifay,,1,scheme-bonifay,True,,,medium,,,Bonifay Court:Com Staff Room 2 (unit 16)
meter-bonifay-bulk-bulk-1,Bonifay,electricity,Bulk 1,bulk,,Bonifay,,0,scheme-bonifay,True,,,medium,,,Bonifay Court:Bulk 1
meter-granistar-heights-unit-gh-01,Granistar Heights,electricity,GH 01,unit,GH 01,GH 01,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 01
meter-granistar-heights-unit-gh-02,Granistar Heights,electricity,GH 02,unit,GH 02,GH 02,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 02
meter-granistar-heights-unit-gh-03,Granistar Heights,electricity,GH 03,unit,GH 03,GH 03,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 03
meter-granistar-heights-unit-gh-04,Granistar Heights,electricity,GH 04,unit,GH 04,GH 04,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 04
meter-granistar-heights-unit-gh-05,Granistar Heights,electricity,GH 05,unit,GH 05,GH 05,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 05
meter-granistar-heights-unit-gh-06,Granistar Heights,electricity,GH 06,unit,GH 06,GH 06,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 06
meter-granistar-heights-unit-gh-06-second-meter,Granistar Heights,electricity,GH 06 Second Meter,unit,GH 06 Second Meter,GH 06 Second Meter,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 06 Second Meter
meter-granistar-heights-unit-gh-08,Granistar Heights,electricity,GH 08,unit,GH 08,GH 08,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 08
meter-granistar-heights-unit-gh-09,Granistar Heights,electricity,GH 09,unit,GH 09,GH 09,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 09
meter-granistar-heights-unit-gh-10,Granistar Heights,electricity,GH 10,unit,GH 10,GH 10,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 10
meter-granistar-heights-unit-gh-11,Granistar Heights,electricity,GH 11,unit,GH 11,GH 11,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 11
meter-granistar-heights-unit-gh-12,Granistar Heights,electricity,GH 12,unit,GH 12,GH 12,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 12
meter-granistar-heights-unit-gh-13,Granistar Heights,electricity,GH 13,unit,GH 13,GH 13,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 13
meter-granistar-heights-unit-gh-14a,Granistar Heights,electricity,GH 14A,unit,GH 14A,GH 14A,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 14A
meter-granistar-heights-unit-gh-15,Granistar Heights,electricity,GH 15,unit,GH 15,GH 15,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 15
meter-granistar-heights-unit-gh-16,Granistar Heights,electricity,GH 16,unit,GH 16,GH 16,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 16
meter-granistar-heights-unit-gh-17,Granistar Heights,electricity,GH 17,unit,GH 17,GH 17,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 17
meter-granistar-heights-unit-gh-18,Granistar Heights,electricity,GH 18,unit,GH 18,GH 18,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 18
meter-granistar-heights-unit-gh-19,Granistar Heights,electricity,GH 19,unit,GH 19,GH 19,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 19
meter-granistar-heights-unit-gh-20,Granistar Heights,electricity,GH 20,unit,GH 20,GH 20,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 20
meter-granistar-heights-unit-gh-21,Granistar Heights,electricity,GH 21,unit,GH 21,GH 21,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:GH 21
meter-granistar-heights-unit-cellc-gh-07,Granistar Heights,electricity,** CellC / GH 07,unit,** CellC / GH 07,** CellC / GH 07,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:** CellC / GH 07
meter-granistar-heights-unit-a,Granistar Heights,electricity,** A,unit,** A,** A,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:** A
meter-granistar-heights-unit-b,Granistar Heights,electricity,** B,unit,** B,** B,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:** B
meter-granistar-heights-unit-c,Granistar Heights,electricity,** C,unit,** C,** C,,1,scheme-granistar-heights,True,,,medium,,,Granistar Heights:** C
meter-granistar-heights-bulk-bulk-1,Granistar Heights,electricity,Bulk 1,bulk,,Granistar Heights,,0,scheme-granistar-heights,True,,,medium,,,Granistar Heights:Bulk 1
meter-mang-court-unit-mc-01,Mang Court,electricity,MC 01,unit,MC 01,MC 01,,1,scheme-mang-court,True,,,medium,,,Mang Court:MC 01
meter-mang-court-unit-mc-02,Mang Court,electricity,MC 02,unit,MC 02,MC 02,,1,scheme-mang-court,True,,,medium,,,Mang Court:MC 02
meter-mang-court-unit-mc-03,Mang Court,electricity,MC 03,unit,MC 03,MC 03,,1,scheme-mang-court,True,,,medium,,,Mang Court:MC 03
meter-mang-court-unit-mc-04,Mang Court,electricity,MC 04,unit,MC 04,MC 04,,1,scheme-mang-court,True,,,medium,,,Mang Court:MC 04
meter-mang-court-unit-mc-05,Mang Court,electricity,MC 05,unit,MC 05,MC 05,,1,scheme-mang-court,True,,,medium,,,Mang Court:MC 05
meter-mang-court-unit-mc-06,Mang Court,electricity,MC 06,unit,MC 06,MC 06,,1,scheme-mang-court,True,,,medium,,,Mang Court:MC 06
meter-mang-court-bulk-bulk-1,Mang Court,electricity,Bulk 1,bulk,,Mang Court,,0,scheme-mang-court,True,,,medium,,,Mang Court:Bulk 1
meter-villino-glen-unit-vg-01,VILLINO GLEN,electricity,VG 01,unit,VG 01,VG 01,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 01
meter-villino-glen-unit-vg-02,VILLINO GLEN,electricity,VG 02,unit,VG 02,VG 02,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 02
meter-villino-glen-unit-vg-03,VILLINO GLEN,electricity,VG 03,unit,VG 03,VG 03,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 03
meter-villino-glen-unit-vg-04,VILLINO GLEN,electricity,VG 04,unit,VG 04,VG 04,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 04
meter-villino-glen-unit-vg-05,VILLINO GLEN,electricity,VG 05,unit,VG 05,VG 05,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 05
meter-villino-glen-unit-vg-06,VILLINO GLEN,electricity,VG 06,unit,VG 06,VG 06,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 06
meter-villino-glen-unit-vg-07,VILLINO GLEN,electricity,VG 07,unit,VG 07,VG 07,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 07
meter-villino-glen-unit-vg-08a,VILLINO GLEN,electricity,VG 08A,unit,VG 08A,VG 08A,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 08A
meter-villino-glen-unit-vg-09,VILLINO GLEN,electricity,VG 09,unit,VG 09,VG 09,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 09
meter-villino-glen-unit-vg-10,VILLINO GLEN,electricity,VG 10,unit,VG 10,VG 10,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 10
meter-villino-glen-unit-vg-11,VILLINO GLEN,electricity,VG 11,unit,VG 11,VG 11,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 11
meter-villino-glen-unit-vg-12,VILLINO GLEN,electricity,VG 12,unit,VG 12,VG 12,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 12
meter-villino-glen-unit-vg-13,VILLINO GLEN,electricity,VG 13,unit,VG 13,VG 13,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 13
meter-villino-glen-unit-vg-14a,VILLINO GLEN,electricity,VG 14A,unit,VG 14A,VG 14A,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 14A
meter-villino-glen-unit-vg-15,VILLINO GLEN,electricity,VG 15,unit,VG 15,VG 15,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 15
meter-villino-glen-unit-vg-16,VILLINO GLEN,electricity,VG 16,unit,VG 16,VG 16,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 16
meter-villino-glen-unit-vg-17,VILLINO GLEN,electricity,VG 17,unit,VG 17,VG 17,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 17
meter-villino-glen-unit-vg-18,VILLINO GLEN,electricity,VG 18,unit,VG 18,VG 18,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 18
meter-villino-glen-unit-vg-19-a,VILLINO GLEN,electricity,VG 19 A,unit,VG 19 A,VG 19 A,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 19 A
meter-villino-glen-unit-vg-20a,VILLINO GLEN,electricity,VG 20A,unit,VG 20A,VG 20A,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 20A
meter-villino-glen-unit-vg-21,VILLINO GLEN,electricity,VG 21,unit,VG 21,VG 21,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 21
meter-villino-glen-unit-vg-22,VILLINO GLEN,electricity,VG 22,unit,VG 22,VG 22,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 22
meter-villino-glen-unit-vg-23,VILLINO GLEN,electricity,VG 23,unit,VG 23,VG 23,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 23
meter-villino-glen-unit-vg-24,VILLINO GLEN,electricity,VG 24,unit,VG 24,VG 24,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 24
meter-villino-glen-unit-vg-25,VILLINO GLEN,electricity,VG 25,unit,VG 25,VG 25,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 25
meter-villino-glen-unit-vg-26,VILLINO GLEN,electricity,VG 26,unit,VG 26,VG 26,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 26
meter-villino-glen-unit-vg-27,VILLINO GLEN,electricity,VG 27,unit,VG 27,VG 27,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 27
meter-villino-glen-unit-vg-28,VILLINO GLEN,electricity,VG 28,unit,VG 28,VG 28,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 28
meter-villino-glen-unit-vg-29,VILLINO GLEN,electricity,VG 29,unit,VG 29,VG 29,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 29
meter-villino-glen-unit-vg-30,VILLINO GLEN,electricity,VG 30,unit,VG 30,VG 30,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 30
meter-villino-glen-unit-vg-31,VILLINO GLEN,electricity,VG 31,unit,VG 31,VG 31,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 31
meter-villino-glen-unit-vg-32,VILLINO GLEN,electricity,VG 32,unit,VG 32,VG 32,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 32
meter-villino-glen-unit-vg-33,VILLINO GLEN,electricity,VG 33,unit,VG 33,VG 33,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 33
meter-villino-glen-unit-vg-34,VILLINO GLEN,electricity,VG 34,unit,VG 34,VG 34,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 34
meter-villino-glen-unit-vg-35,VILLINO GLEN,electricity,VG 35,unit,VG 35,VG 35,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 35
meter-villino-glen-unit-vg-36,VILLINO GLEN,electricity,VG 36,unit,VG 36,VG 36,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 36
meter-villino-glen-unit-vg-37,VILLINO GLEN,electricity,VG 37,unit,VG 37,VG 37,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 37
meter-villino-glen-unit-vg-38,VILLINO GLEN,electricity,VG 38,unit,VG 38,VG 38,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:VG 38
meter-villino-glen-common-gate,VILLINO GLEN,electricity,** Gate,common_property,,VILLINO GLEN,,1,scheme-villino-glen,True,,,medium,,,Vilino Glen:** Gate
meter-villino-glen-bulk-bulk-1,VILLINO GLEN,electricity,Bulk 1,bulk,,VILLINO GLEN,,0,scheme-villino-glen,True,,,medium,,,Vilino Glen:Bulk 1
meter-hazelmere-unit-hm-01,Hazelmere,electricity,HM 01,unit,HM 01,HM 01,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 01
meter-hazelmere-unit-hm-02,Hazelmere,electricity,HM 02,unit,HM 02,HM 02,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 02
meter-hazelmere-unit-hm-03,Hazelmere,electricity,HM 03,unit,HM 03,HM 03,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 03
meter-hazelmere-unit-hm-04,Hazelmere,electricity,HM 04,unit,HM 04,HM 04,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 04
meter-hazelmere-unit-hm-05,Hazelmere,electricity,HM 05,unit,HM 05,HM 05,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 05
meter-hazelmere-unit-hm-06,Hazelmere,electricity,HM 06,unit,HM 06,HM 06,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 06
meter-hazelmere-unit-hm-07,Hazelmere,electricity,HM 07,unit,HM 07,HM 07,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 07
meter-hazelmere-unit-hm-08,Hazelmere,electricity,HM 08,unit,HM 08,HM 08,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 08
meter-hazelmere-unit-hm-09,Hazelmere,electricity,HM 09,unit,HM 09,HM 09,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 09
meter-hazelmere-unit-hm-10,Hazelmere,electricity,HM 10,unit,HM 10,HM 10,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 10
meter-hazelmere-unit-hm-11,Hazelmere,electricity,HM 11,unit,HM 11,HM 11,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 11
meter-hazelmere-unit-hm-12,Hazelmere,electricity,HM 12,unit,HM 12,HM 12,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 12
meter-hazelmere-unit-hm-13,Hazelmere,electricity,HM 13,unit,HM 13,HM 13,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 13
meter-hazelmere-unit-hm-14,Hazelmere,electricity,HM 14,unit,HM 14,HM 14,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 14
meter-hazelmere-unit-hm-15a,Hazelmere,electricity,HM 15A,unit,HM 15A,HM 15A,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 15A
meter-hazelmere-unit-hm-16,Hazelmere,electricity,HM 16,unit,HM 16,HM 16,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 16
meter-hazelmere-unit-hm-17,Hazelmere,electricity,HM 17,unit,HM 17,HM 17,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 17
meter-hazelmere-unit-hm-18,Hazelmere,electricity,HM 18,unit,HM 18,HM 18,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 18
meter-hazelmere-unit-hm-19,Hazelmere,electricity,HM 19,unit,HM 19,HM 19,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 19
meter-hazelmere-unit-hm-20,Hazelmere,electricity,HM 20,unit,HM 20,HM 20,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 20
meter-hazelmere-unit-hm-21,Hazelmere,electricity,HM 21,unit,HM 21,HM 21,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 21
meter-hazelmere-unit-hm-22,Hazelmere,electricity,HM 22,unit,HM 22,HM 22,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 22
meter-hazelmere-unit-hm-23,Hazelmere,electricity,HM 23,unit,HM 23,HM 23,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 23
meter-hazelmere-unit-hm-24,Hazelmere,electricity,HM 24,unit,HM 24,HM 24,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 24
meter-hazelmere-unit-hm-25,Hazelmere,electricity,HM 25,unit,HM 25,HM 25,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 25
meter-hazelmere-unit-hm-26,Hazelmere,electricity,HM 26,unit,HM 26,HM 26,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 26
meter-hazelmere-unit-hm-27,Hazelmere,electricity,HM 27,unit,HM 27,HM 27,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 27
meter-hazelmere-unit-hm-28,Hazelmere,electricity,HM 28,unit,HM 28,HM 28,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 28
meter-hazelmere-unit-hm-29,Hazelmere,electricity,HM 29,unit,HM 29,HM 29,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 29
meter-hazelmere-unit-hm-30a,Hazelmere,electricity,HM 30A,unit,HM 30A,HM 30A,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 30A
meter-hazelmere-unit-hm-31,Hazelmere,electricity,HM 31,unit,HM 31,HM 31,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 31
meter-hazelmere-unit-hm-32,Hazelmere,electricity,HM 32,unit,HM 32,HM 32,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 32
meter-hazelmere-unit-hm-33,Hazelmere,electricity,HM 33,unit,HM 33,HM 33,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 33
meter-hazelmere-unit-hm-34,Hazelmere,electricity,HM 34,unit,HM 34,HM 34,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 34
meter-hazelmere-unit-hm-35a,Hazelmere,electricity,HM 35A,unit,HM 35A,HM 35A,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 35A
meter-hazelmere-unit-hm-36a,Hazelmere,electricity,HM 36A,unit,HM 36A,HM 36A,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 36A
meter-hazelmere-unit-hm-37,Hazelmere,electricity,HM 37,unit,HM 37,HM 37,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 37
meter-hazelmere-unit-hm-38,Hazelmere,electricity,HM 38,unit,HM 38,HM 38,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 38
meter-hazelmere-unit-hm-39,Hazelmere,electricity,HM 39,unit,HM 39,HM 39,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 39
meter-hazelmere-unit-hm-40a,Hazelmere,electricity,HM 40A,unit,HM 40A,HM 40A,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 40A
meter-hazelmere-unit-hm-41,Hazelmere,electricity,HM 41,unit,HM 41,HM 41,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 41
meter-hazelmere-unit-hm-42,Hazelmere,electricity,HM 42,unit,HM 42,HM 42,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 42
meter-hazelmere-unit-hm-43,Hazelmere,electricity,HM 43,unit,HM 43,HM 43,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 43
meter-hazelmere-unit-hm-44,Hazelmere,electricity,HM 44,unit,HM 44,HM 44,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 44
meter-hazelmere-unit-hm-45,Hazelmere,electricity,HM 45,unit,HM 45,HM 45,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 45
meter-hazelmere-unit-hm-46,Hazelmere,electricity,HM 46,unit,HM 46,HM 46,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 46
meter-hazelmere-unit-hm-47,Hazelmere,electricity,HM 47,unit,HM 47,HM 47,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 47
meter-hazelmere-unit-hm-48,Hazelmere,electricity,HM 48,unit,HM 48,HM 48,,1,scheme-hazelmere,True,,,medium,,,Hazelmere:HM 48
